hdop,satellites,vibration_x,gps_trust_score,action_taken,scenario
2.8,16,0.201,0.64,CAUTION,Poor_GPS
2.9,17,0.087,0.68,CAUTION,Poor_GPS
2.09,16,0.388,0.64,CAUTION,Medium_GPS
2.49,10,0.465,0.5525,CAUTION,Medium_GPS
2.86,12,0.509,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.12,20,0.049,0.8725,GPS_OK,Good_GPS
2.59,18,0.401,0.64,CAUTION,Poor_GPS
0.61,11,0.346,0.755,CAUTION,Good_GPS
0.76,18,0.462,0.8425,CAUTION,Good_GPS
0.77,19,0.251,0.8425,CAUTION,Good_GPS
1.31,17,0.204,0.73,CAUTION,Good_GPS
0.54,22,0.311,0.8775,GPS_OK,Excellent_GPS
3.37,15,0.018,0.5675,CAUTION,Poor_GPS
0.64,18,0.37,0.8425,CAUTION,Good_GPS
3.08,21,0.217,0.5625,CAUTION,Poor_GPS
1.65,19,0.314,0.73,CAUTION,Medium_GPS
2.43,16,0.374,0.64,CAUTION,Medium_GPS
1.08,9,0.6,0.59,CAUTION,Good_GPS
2.56,18,0.404,0.64,CAUTION,Poor_GPS
2.0,19,0.15,0.68,CAUTION,Medium_GPS
1.18,11,0.32,0.71,CAUTION,Good_GPS
0.68,13,0.276,0.755,CAUTION,Good_GPS
0.59,8,0.756,0.635,CAUTION,Good_GPS
3.45,18,0.188,0.5675,CAUTION,Poor_GPS
1.49,14,0.124,0.6825,CAUTION,Good_GPS
2.27,6,0.515,0.3625,SWITCH_TO_NON_GPS,Medium_GPS
1.81,6,0.505,0.4525,SWITCH_TO_NON_GPS,Medium_GPS
2.39,19,0.223,0.64,CAUTION,Medium_GPS
0.67,16,0.477,0.8425,CAUTION,Good_GPS
0.68,22,0.442,0.8775,GPS_OK,Excellent_GPS
0.94,9,0.111,0.68,CAUTION,Good_GPS
2.18,17,0.156,0.68,CAUTION,Medium_GPS
2.29,21,0.624,0.625,CAUTION,Medium_GPS
3.29,17,0.372,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.51,16,0.577,0.68,CAUTION,Medium_GPS
2.47,21,0.12,0.715,CAUTION,Medium_GPS
0.78,22,0.243,0.8775,GPS_OK,Excellent_GPS
3.21,20,0.416,0.5625,CAUTION,Poor_GPS
2.57,19,0.333,0.64,CAUTION,Poor_GPS
2.18,10,0.722,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
0.83,14,0.279,0.71,CAUTION,Good_GPS
2.23,15,0.534,0.59,CAUTION,Medium_GPS
1.49,6,0.253,0.5025,SWITCH_TO_NON_GPS,Good_GPS
2.87,14,0.483,0.5525,CAUTION,Poor_GPS
0.98,10,0.391,0.71,CAUTION,Good_GPS
1.38,8,0.386,0.5725,CAUTION,Good_GPS
3.0,21,0.113,0.6025,CAUTION,Poor_GPS
2.85,7,0.144,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.11,16,0.114,0.8375,CAUTION,Good_GPS
2.11,21,0.209,0.675,CAUTION,Medium_GPS
0.91,21,0.086,0.8725,GPS_OK,Good_GPS
1.16,6,0.269,0.57,CAUTION,Good_GPS
3.36,9,0.216,0.37,SWITCH_TO_NON_GPS,Poor_GPS
2.6,21,0.517,0.625,CAUTION,Poor_GPS
2.25,6,0.398,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
3.39,17,0.161,0.5675,CAUTION,Poor_GPS
2.63,7,0.496,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.25,20,0.04,0.6025,CAUTION,Poor_GPS
2.14,20,0.038,0.715,CAUTION,Medium_GPS
1.65,14,0.192,0.6825,CAUTION,Medium_GPS
2.21,16,0.334,0.64,CAUTION,Medium_GPS
1.43,15,0.768,0.68,CAUTION,Good_GPS
3.0,18,0.317,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
3.32,6,0.386,0.3,SWITCH_TO_NON_GPS,Poor_GPS
1.54,7,0.243,0.5725,CAUTION,Medium_GPS
2.69,20,0.262,0.675,CAUTION,Poor_GPS
0.51,22,0.091,0.9175,GPS_OK,Excellent_GPS
1.31,13,0.764,0.5925,CAUTION,Good_GPS
0.56,16,0.304,0.8425,CAUTION,Good_GPS
1.97,18,0.474,0.73,CAUTION,Medium_GPS
1.91,19,0.139,0.77,CAUTION,Medium_GPS
1.58,7,0.539,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.28,13,0.586,0.5925,CAUTION,Good_GPS
3.39,21,0.534,0.5125,SWITCH_TO_NON_GPS,Poor_GPS
2.78,10,0.135,0.5925,CAUTION,Poor_GPS
1.14,9,0.204,0.64,CAUTION,Good_GPS
0.67,16,0.011,0.8825,GPS_OK,Good_GPS
1.45,20,0.302,0.765,CAUTION,Good_GPS
3.19,7,0.667,0.32,SWITCH_TO_NON_GPS,Poor_GPS
2.61,20,0.057,0.715,CAUTION,Poor_GPS
2.44,13,0.073,0.5925,CAUTION,Medium_GPS
2.33,10,0.514,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.38,13,0.567,0.5925,CAUTION,Good_GPS
1.49,17,0.268,0.73,CAUTION,Good_GPS
1.76,16,0.144,0.77,CAUTION,Medium_GPS
0.79,10,0.003,0.795,CAUTION,Good_GPS
1.37,6,0.518,0.4525,SWITCH_TO_NON_GPS,Good_GPS
3.14,8,0.5,0.32,SWITCH_TO_NON_GPS,Poor_GPS
1.32,12,0.697,0.5925,CAUTION,Good_GPS
3.04,7,0.326,0.37,SWITCH_TO_NON_GPS,Poor_GPS
1.01,16,0.375,0.7975,CAUTION,Good_GPS
2.88,13,0.096,0.5925,CAUTION,Poor_GPS
3.14,21,0.29,0.5625,CAUTION,Poor_GPS
2.23,19,0.319,0.64,CAUTION,Medium_GPS
3.42,16,0.484,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
2.78,14,0.723,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.93,22,0.116,0.805,CAUTION,Medium_GPS
1.65,9,0.117,0.6125,CAUTION,Medium_GPS
2.25,22,0.01,0.715,CAUTION,Medium_GPS
3.11,11,0.304,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.74,7,0.33,0.5725,CAUTION,Medium_GPS
3.08,14,0.253,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.86,12,0.319,0.6425,CAUTION,Medium_GPS
1.2,16,0.381,0.73,CAUTION,Good_GPS
2.85,13,0.505,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
0.82,11,0.777,0.66,CAUTION,Good_GPS
2.65,18,0.098,0.68,CAUTION,Poor_GPS
1.54,10,0.181,0.6825,CAUTION,Medium_GPS
0.53,13,0.152,0.795,CAUTION,Good_GPS
2.25,21,0.458,0.675,CAUTION,Medium_GPS
2.84,7,0.263,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.2,17,0.24,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.71,22,0.208,0.765,CAUTION,Medium_GPS
3.15,6,0.527,0.25,SWITCH_TO_NON_GPS,Poor_GPS
0.96,19,0.229,0.7975,CAUTION,Good_GPS
3.07,9,0.299,0.37,SWITCH_TO_NON_GPS,Poor_GPS
0.98,22,0.012,0.8725,GPS_OK,Good_GPS
1.33,10,0.186,0.6825,CAUTION,Good_GPS
2.39,6,0.239,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
1.6,15,0.597,0.68,CAUTION,Medium_GPS
1.96,20,0.011,0.805,CAUTION,Medium_GPS
1.87,17,0.185,0.77,CAUTION,Medium_GPS
3.4,11,0.658,0.39,SWITCH_TO_NON_GPS,Poor_GPS
0.67,15,0.643,0.7925,CAUTION,Good_GPS
0.58,12,0.175,0.795,CAUTION,Good_GPS
2.57,22,0.2,0.675,CAUTION,Poor_GPS
2.99,6,0.059,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
1.52,11,0.348,0.6425,CAUTION,Medium_GPS
0.72,7,0.656,0.635,CAUTION,Good_GPS
1.01,10,0.639,0.66,CAUTION,Good_GPS
3.16,11,0.311,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.56,12,0.451,0.6425,CAUTION,Medium_GPS
0.73,21,0.406,0.8775,GPS_OK,Excellent_GPS
2.26,8,0.229,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.11,18,0.07,0.8375,CAUTION,Good_GPS
2.96,21,0.419,0.675,CAUTION,Poor_GPS
1.64,22,0.296,0.765,CAUTION,Medium_GPS
3.45,22,0.139,0.6025,CAUTION,Poor_GPS
1.01,20,1.036,0.7325,CAUTION,Good_GPS
2.55,11,0.081,0.5925,CAUTION,Poor_GPS
1.88,10,0.653,0.5925,CAUTION,Medium_GPS
2.75,16,0.161,0.68,CAUTION,Poor_GPS
2.11,14,0.63,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.16,8,0.196,0.68,CAUTION,Good_GPS
1.89,20,0.101,0.805,CAUTION,Medium_GPS
3.39,6,0.548,0.25,SWITCH_TO_NON_GPS,Poor_GPS
3.41,9,0.168,0.41,SWITCH_TO_NON_GPS,Poor_GPS
0.52,21,0.233,0.8775,GPS_OK,Excellent_GPS
2.54,10,0.104,0.5925,CAUTION,Poor_GPS
2.51,7,0.736,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
2.99,13,0.337,0.5525,CAUTION,Poor_GPS
1.59,16,0.033,0.77,CAUTION,Medium_GPS
2.62,7,0.273,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
1.94,6,0.332,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.31,19,0.354,0.64,CAUTION,Medium_GPS
2.78,15,0.448,0.64,CAUTION,Poor_GPS
2.87,10,0.196,0.5925,CAUTION,Poor_GPS
1.05,20,0.624,0.7825,CAUTION,Good_GPS
1.59,14,0.256,0.6425,CAUTION,Medium_GPS
3.42,12,0.318,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.84,17,0.677,0.68,CAUTION,Medium_GPS
1.24,20,0.047,0.805,CAUTION,Good_GPS
1.95,17,0.121,0.77,CAUTION,Medium_GPS
0.97,18,0.616,0.7475,CAUTION,Good_GPS
2.03,10,0.468,0.5525,CAUTION,Medium_GPS
1.23,21,0.613,0.715,CAUTION,Good_GPS
1.64,18,0.433,0.73,CAUTION,Medium_GPS
0.76,19,0.195,0.8825,GPS_OK,Good_GPS
0.82,9,0.18,0.68,CAUTION,Good_GPS
1.14,7,0.037,0.68,CAUTION,Good_GPS
2.67,11,0.759,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
2.12,20,0.33,0.675,CAUTION,Medium_GPS
3.04,22,0.57,0.5125,SWITCH_TO_NON_GPS,Poor_GPS
2.15,21,0.011,0.715,CAUTION,Medium_GPS
2.55,20,0.402,0.675,CAUTION,Poor_GPS
3.46,8,0.15,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.78,21,0.007,0.715,CAUTION,Poor_GPS
3.06,18,0.344,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.11,18,0.289,0.7975,CAUTION,Good_GPS
2.15,19,0.322,0.64,CAUTION,Medium_GPS
1.23,19,0.534,0.68,CAUTION,Good_GPS
2.18,22,0.003,0.715,CAUTION,Medium_GPS
3.0,22,0.339,0.5625,CAUTION,Poor_GPS
2.38,7,0.801,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
0.7,17,0.66,0.7925,CAUTION,Good_GPS
1.97,20,0.219,0.765,CAUTION,Medium_GPS
2.44,16,0.156,0.68,CAUTION,Medium_GPS
2.58,17,0.331,0.64,CAUTION,Poor_GPS
1.33,22,0.342,0.765,CAUTION,Good_GPS
2.4,14,0.316,0.5525,CAUTION,Medium_GPS
2.1,19,0.348,0.64,CAUTION,Medium_GPS
1.94,9,0.16,0.6125,CAUTION,Medium_GPS
0.64,13,0.396,0.755,CAUTION,Good_GPS
2.71,18,0.02,0.68,CAUTION,Poor_GPS
1.86,8,0.064,0.6125,CAUTION,Medium_GPS
1.44,19,0.115,0.77,CAUTION,Good_GPS
3.4,13,0.245,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.85,21,0.383,0.675,CAUTION,Poor_GPS
1.13,22,0.051,0.8725,GPS_OK,Good_GPS
3.05,8,0.041,0.41,SWITCH_TO_NON_GPS,Poor_GPS
1.45,22,0.417,0.765,CAUTION,Good_GPS
1.02,11,0.153,0.75,CAUTION,Good_GPS
2.92,13,0.168,0.5925,CAUTION,Poor_GPS
2.97,13,0.406,0.5525,CAUTION,Poor_GPS
1.4,6,0.57,0.4525,SWITCH_TO_NON_GPS,Good_GPS
3.37,7,0.33,0.37,SWITCH_TO_NON_GPS,Poor_GPS
3.14,11,0.67,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.62,8,0.416,0.5725,CAUTION,Medium_GPS
0.7,17,0.187,0.8825,GPS_OK,Good_GPS
2.97,8,0.095,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.41,11,0.266,0.5525,CAUTION,Medium_GPS
0.61,19,0.278,0.8425,CAUTION,Good_GPS
1.81,17,0.48,0.73,CAUTION,Medium_GPS
1.43,15,0.503,0.68,CAUTION,Good_GPS
2.36,12,0.502,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.6,20,0.595,0.625,CAUTION,Poor_GPS
1.21,8,0.507,0.5225,SWITCH_TO_NON_GPS,Good_GPS
1.99,16,0.086,0.77,CAUTION,Medium_GPS
1.67,8,0.34,0.5725,CAUTION,Medium_GPS
1.62,15,0.4,0.73,CAUTION,Medium_GPS
1.19,18,0.094,0.8375,CAUTION,Good_GPS
1.22,10,0.426,0.6425,CAUTION,Good_GPS
2.06,11,0.189,0.5925,CAUTION,Medium_GPS
1.97,6,0.511,0.4525,SWITCH_TO_NON_GPS,Medium_GPS
1.68,13,0.314,0.6425,CAUTION,Medium_GPS
2.96,14,0.367,0.5525,CAUTION,Poor_GPS
2.72,14,0.376,0.5525,CAUTION,Poor_GPS
3.28,8,0.533,0.32,SWITCH_TO_NON_GPS,Poor_GPS
3.34,6,0.65,0.25,SWITCH_TO_NON_GPS,Poor_GPS
0.56,18,0.313,0.8425,CAUTION,Good_GPS
2.0,15,0.276,0.64,CAUTION,Medium_GPS
1.19,11,0.277,0.71,CAUTION,Good_GPS
1.73,11,0.478,0.6425,CAUTION,Medium_GPS
3.19,8,0.325,0.37,SWITCH_TO_NON_GPS,Poor_GPS
3.03,13,0.188,0.48,SWITCH_TO_NON_GPS,Poor_GPS
1.62,15,0.35,0.73,CAUTION,Medium_GPS
2.3,21,0.463,0.675,CAUTION,Medium_GPS
1.24,16,0.621,0.68,CAUTION,Good_GPS
1.84,6,0.61,0.4525,SWITCH_TO_NON_GPS,Medium_GPS
2.55,16,0.749,0.59,CAUTION,Poor_GPS
1.44,10,0.115,0.6825,CAUTION,Good_GPS
2.87,15,0.188,0.68,CAUTION,Poor_GPS
2.5,16,0.446,0.64,CAUTION,Poor_GPS
3.4,20,0.462,0.5625,CAUTION,Poor_GPS
2.13,17,0.151,0.68,CAUTION,Medium_GPS
2.16,17,0.127,0.68,CAUTION,Medium_GPS
1.05,18,0.315,0.7975,CAUTION,Good_GPS
2.35,16,0.313,0.64,CAUTION,Medium_GPS
2.88,21,0.519,0.625,CAUTION,Poor_GPS
3.38,15,0.31,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.69,6,0.064,0.5425,SWITCH_TO_NON_GPS,Medium_GPS
0.9,17,0.161,0.8375,CAUTION,Good_GPS
2.93,21,0.123,0.715,CAUTION,Poor_GPS
3.38,9,0.234,0.37,SWITCH_TO_NON_GPS,Poor_GPS
2.14,15,0.345,0.64,CAUTION,Medium_GPS
1.5,20,0.042,0.805,CAUTION,Medium_GPS
3.24,7,0.198,0.41,SWITCH_TO_NON_GPS,Poor_GPS
1.07,14,0.472,0.71,CAUTION,Good_GPS
3.0,22,0.599,0.5125,SWITCH_TO_NON_GPS,Poor_GPS
3.19,16,0.321,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.14,7,0.047,0.68,CAUTION,Good_GPS
1.13,15,0.028,0.8375,CAUTION,Good_GPS
2.73,6,0.267,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
2.35,13,0.297,0.5525,CAUTION,Medium_GPS
1.86,20,0.077,0.805,CAUTION,Medium_GPS
1.86,9,0.028,0.6125,CAUTION,Medium_GPS
3.22,6,0.83,0.25,SWITCH_TO_NON_GPS,Poor_GPS
3.26,21,0.484,0.5625,CAUTION,Poor_GPS
1.54,6,0.045,0.5425,SWITCH_TO_NON_GPS,Medium_GPS
1.89,10,0.228,0.6425,CAUTION,Medium_GPS
2.89,11,0.082,0.5925,CAUTION,Poor_GPS
2.88,6,0.219,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
2.54,14,0.389,0.5525,CAUTION,Poor_GPS
2.45,16,0.309,0.64,CAUTION,Medium_GPS
0.67,9,0.281,0.685,CAUTION,Good_GPS
2.34,10,0.222,0.5525,CAUTION,Medium_GPS
1.78,17,0.045,0.77,CAUTION,Medium_GPS
1.05,18,0.254,0.7975,CAUTION,Good_GPS
1.62,12,0.02,0.6825,CAUTION,Medium_GPS
1.55,11,0.222,0.6425,CAUTION,Medium_GPS
2.94,22,0.167,0.715,CAUTION,Poor_GPS
1.47,20,0.128,0.805,CAUTION,Good_GPS
2.97,12,0.052,0.5925,CAUTION,Poor_GPS
1.32,15,0.05,0.77,CAUTION,Good_GPS
1.62,20,0.189,0.805,CAUTION,Medium_GPS
2.93,6,0.074,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
2.35,16,0.157,0.68,CAUTION,Medium_GPS
1.79,22,0.069,0.805,CAUTION,Medium_GPS
1.7,19,0.643,0.68,CAUTION,Medium_GPS
3.13,15,0.037,0.5675,CAUTION,Poor_GPS
1.32,15,0.097,0.77,CAUTION,Good_GPS
1.51,18,0.413,0.73,CAUTION,Medium_GPS
1.39,19,0.185,0.77,CAUTION,Good_GPS
2.77,20,0.402,0.675,CAUTION,Poor_GPS
1.45,17,0.564,0.68,CAUTION,Good_GPS
3.29,10,0.253,0.44,SWITCH_TO_NON_GPS,Poor_GPS
3.02,22,0.216,0.5625,CAUTION,Poor_GPS
1.79,20,0.636,0.715,CAUTION,Medium_GPS
